id	tool	original_report_relative_to_reports_reports	source_path	original_line	original_column	rule	original_finding	current_edit_locus	author_disposition	source_correction
K001	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	32	standard:function-signature	Newline expected after opening parenthesis	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
K002	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	78	standard:function-signature	Parameter should start on a newline	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
K003	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	107	standard:function-signature	Parameter should start on a newline	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
K004	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	146	standard:function-signature	Newline expected before closing parenthesis	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
K005	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcGuardCall.kt	95	160	standard:max-line-length	Exceeded max line length (160)	PersistenceJdbcGuardCall.kt:95-99	EDIT_AUTHORED_NOT_RERUN	Wrap retainCreator signature; parameter order and body unchanged.
K006	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceJdbcLeaseInvocation.kt	36	35	standard:multiline-if-else	Missing { ... }	PersistenceJdbcLeaseInvocation.kt:36-40	EDIT_AUTHORED_NOT_RERUN	Brace existing conditional throw without changing adaptation scope.
K007	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceProducerEpoch.kt	303	9	standard:class-signature	No whitespace expected between opening parenthesis and first parameter name	PersistenceProducerEpoch.kt:302	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged OuterTail constructor parameters to one line.
K008	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceProducerEpoch.kt	304	9	standard:class-signature	Single whitespace expected before parameter	PersistenceProducerEpoch.kt:302	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged OuterTail constructor parameters to one line.
K009	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceProducerEpoch.kt	305	9	standard:class-signature	Single whitespace expected before parameter	PersistenceProducerEpoch.kt:302	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged OuterTail constructor parameters to one line.
K010	Ktlint	ktlint/ktlintMainSourceSetCheck/ktlintMainSourceSetCheck.txt	src/main/kotlin/me/manga/kira/backend/common/infrastructure/persistence/PersistenceProducerEpoch.kt	305	33	standard:class-signature	No whitespace expected between last parameter and closing parenthesis	PersistenceProducerEpoch.kt:302	EDIT_AUTHORED_NOT_RERUN	Collapse unchanged OuterTail constructor parameters to one line.
